AcctName	Name	Password	PrimaryTel	PrimaryTelType	UserType
adr.kane.958	Adrian Kane	5ohjje	97151414	Home	VOA
ale.johnson.509	Alexandria Johnson	1y9dz1	95314776	Office	RU
amb.vargas.583	Amber Vargas	y96vpw	96190372	Home	SA
amy.floyd.618	Amy Floyd	f283uw	93261612	Home	RU
amy.garcia.871	Amy Garcia	gu709u	93710183	Office	RU
amy.henderson.224	Amy Henderson	4qptmw	91447124	Office	RU
and.holmes.392	Andrew Holmes	f7xr2p	81669997	Home	VOA
ang.copeland.523	Angela Copeland	92by34	82513603	Office	VOA
ang.hopkins.264	Angela Hopkins	uub41x	83965340	Home	RU
ang.jenkins.015	Angela Jenkins	8ox34o	87062351	Others	VOA
ant.dennis.856	Anthony Dennis	63zr5y	83510137	Home	RU
ant.fleming.613	Antonio Fleming	7i8jep	84007187	Office	RU
ash.robinson.400	Ashley Robinson	wph64o	88707304	Home	RU
ben.turner.392	Benjamin Turner	54wuuo	89324785	Mobile	RU
bra.cameron.785	Brandy Cameron	77l3n9	82335013	Others	VOA
bre.cook.814	Brent Cook	b8qria	82415172	Home	VOA
cas.duran.250	Casey Duran	v1am3a	86453456	Mobile	RU
cha.miles.655	Chad Miles	3132al	99581029	Mobile	VOA
chr.brown.087	Christopher Brown	7f7lw8	88020452	Others	SA
chr.dds.926	Christy Brooks DDS	2ijaei	91845553	Others	VOA
chr.reyes.970	Christopher Reyes	r7777f	89177150	Mobile	SA
chr.rose.465	Christopher Rose	v1psj2	86077130	Mobile	RU
cor.jr..320	Cory Lopez Jr.	xf6t8w	83361354	Office	RU
cou.brooks.739	Courtney Brooks	u3tetf	99807276	Mobile	RU
cry.davis.502	Crystal Davis	4fryea	91675822	Office	RU
cyn.bender.605	Cynthia Bender	pl80xe	91891875	Office	VOA
cyn.dds.042	Cynthia Mcintyre DDS	39ztgc	84948336	Others	VOA
dan.hayes.093	Danielle Hayes	5i14i6	84434915	Office	RU
dar.davidson.447	Darlene Davidson	11d2wv	92566065	Home	SA
dav.lloyd.779	David Lloyd	4hanrv	94091061	Others	RU
dav.ryan.302	David Ryan	7x4jki	85122653	Mobile	RU
daw.davis.370	Dawn Davis	605yjf	90229340	Office	RU
dia.rodriguez.995	Diana Rodriguez	8lu7jn	96895960	Home	VOA
dr..espinoza.407	Dr. Troy Espinoza	o1p9rf	95332065	Mobile	RU
dyl.romero.144	Dylan Romero	4gqw7f	90177661	Office	RU
eli.dawson.093	Elizabeth Dawson	2p15gz	98009405	Mobile	RU
eri.lopez.817	Eric Lopez	38ki3j	90167306	Office	RU
ger.riley.934	Gerald Riley	34rj2p	93562463	Office	RU
